id,s_id,stamp,time,amplitude
808,808,20230502185210,930880,223
809,809,20230502185210,932032,219
810,810,20230502185210,933184,216
811,811,20230502185210,934336,214
812,812,20230502185210,935488,213
813,813,20230502185210,936640,217
814,814,20230502185210,937792,259
815,815,20230502185210,938944,264
816,816,20230502185210,940096,244
817,817,20230502185210,941248,206
818,818,20230502185210,942400,207
819,819,20230502185210,943552,211
820,820,20230502185210,944704,209
821,821,20230502185210,945856,181
822,822,20230502185210,947008,171
823,823,20230502185210,948160,163
824,824,20230502185210,949312,175
825,825,20230502185210,950464,210
826,826,20230502185210,951616,215
827,827,20230502185210,952768,217
828,828,20230502185210,953920,226
829,829,20230502185210,955072,231
830,830,20230502185210,956224,234
831,831,20230502185210,957376,214
832,832,20230502185210,958528,218
833,833,20230502185210,959680,230
834,834,20230502185210,960832,255
835,835,20230502185210,961984,250
836,836,20230502185210,963136,243
837,837,20230502185210,964288,225
838,838,20230502185210,965440,214
839,839,20230502185210,966592,217
840,840,20230502185210,967744,225
841,841,20230502185210,968896,217
842,842,20230502185210,970048,210
843,843,20230502185210,971200,207
844,844,20230502185210,972352,210
845,845,20230502185210,973504,213
846,846,20230502185210,974656,215
847,847,20230502185210,975808,215
848,848,20230502185210,976960,218
849,849,20230502185210,978112,221
850,850,20230502185210,979264,214
851,851,20230502185210,980416,213
852,852,20230502185210,981568,217
853,853,20230502185210,982720,218
854,854,20230502185210,983872,212
855,855,20230502185210,985024,206
856,856,20230502185210,986176,199
857,857,20230502185210,987328,210
858,858,20230502185210,988480,214
859,859,20230502185210,989632,212
860,860,20230502185210,990784,208
861,861,20230502185210,991936,213
862,862,20230502185210,993088,216
863,863,20230502185210,994240,213
864,864,20230502185210,995392,214
865,865,20230502185210,996544,217
866,866,20230502185210,997696,229
867,867,20230502185210,998848,226
868,868,20230502185210,1000000,221
869,869,20230502185210,1001152,217
870,870,20230502185210,1002304,211
871,871,20230502185210,1003456,215
872,872,20230502185210,1004608,215
873,873,20230502185210,1005760,211
874,874,20230502185210,1006912,210
875,875,20230502185210,1008064,210
876,876,20230502185210,1009216,210
877,877,20230502185210,1010368,214
878,878,20230502185210,1011520,218
879,879,20230502185210,1012672,222
880,880,20230502185210,1013824,221
881,881,20230502185210,1014976,222
882,882,20230502185210,1016128,222
883,883,20230502185210,1017280,212
884,884,20230502185210,1018432,216
885,885,20230502185210,1019584,223
886,886,20230502185210,1020736,221
887,887,20230502185210,1021888,217
888,888,20230502185210,1023040,212
889,889,20230502185210,1024192,208
890,890,20230502185210,1025344,214
891,891,20230502185210,1026496,217
892,892,20230502185210,1027648,212
893,893,20230502185210,1028800,212
894,894,20230502185210,1029952,213
895,895,20230502185210,1031104,214
896,896,20230502185210,1032256,212
897,897,20230502185210,1033408,215
898,898,20230502185210,1034560,221
899,899,20230502185210,1035712,219
900,900,20230502185210,1036864,216
901,901,20230502185210,1038016,214
902,902,20230502185210,1039168,211
903,903,20230502185210,1040320,214
904,904,20230502185210,1041472,217
905,905,20230502185210,1042624,214
906,906,20230502185210,1043776,209
907,907,20230502185210,1044928,210
908,908,20230502185210,1046080,210
909,909,20230502185210,1047232,212
910,910,20230502185210,1048384,215
911,911,20230502185210,1049536,219
912,912,20230502185210,1050688,215
913,913,20230502185210,1051840,212
914,914,20230502185210,1052992,212
915,915,20230502185210,1054144,210
916,916,20230502185210,1055296,214
917,917,20230502185210,1056448,217
918,918,20230502185210,1057600,217
919,919,20230502185210,1058752,212
920,920,20230502185210,1059904,212
921,921,20230502185210,1061056,211
922,922,20230502185210,1062208,212
